40,40,81,40
41,41,83,BF
41,42,83,C0
41,43,83,C1
41,44,83,C2
41,45,83,C3
41,46,83,C4
41,47,83,C5
41,48,83,C6
41,49,83,C7
41,4A,83,C8
41,4B,83,C9
41,4C,83,CA
41,4D,83,CB
41,4E,83,CC
41,4F,83,CD
41,50,83,CE
41,51,83,CF
41,52,83,D0
41,53,83,D1
41,54,83,D2
41,55,83,D3
41,56,83,D4
41,57,83,D5
41,58,83,D6
41,61,83,9F
41,62,83,A0
41,63,83,A1
41,64,83,A2
41,65,83,A3
41,66,83,A4
41,67,83,A5
41,68,83,A6
41,69,83,A7
41,6A,83,A8
41,6B,83,A9
41,6C,83,AA
41,6D,83,AB
41,6E,83,AC
41,6F,83,AD
41,70,83,AE
41,71,83,AF
41,72,83,B0
41,73,83,B1
41,74,83,B2
41,75,83,B3
41,76,83,B4
41,77,83,B5
41,78,83,B6
41,80,84,70
41,81,84,71
41,82,84,72
41,83,84,73
41,84,84,74
41,85,84,75
41,86,84,76
41,87,84,77
41,88,84,78
41,89,84,79
41,8A,84,7A
41,8B,84,7B
41,8C,84,7C
41,8D,84,7D
41,8E,84,7E
41,8F,84,80
41,90,84,81
41,91,84,82
41,92,84,83
41,93,84,84
41,94,84,85
41,95,84,86
41,96,84,87
41,97,84,88
41,98,84,89
41,99,84,8A
41,9A,84,8B
41,9B,84,8C
41,9C,84,8D
41,9D,84,8E
41,9E,84,8F
41,9F,84,90
41,A0,84,91
41,B1,FA,40
41,B2,FA,41
41,B3,FA,42
41,B4,FA,43
41,B5,FA,44
41,B6,FA,45
41,B7,FA,46
41,B8,FA,47
41,B9,FA,48
41,BA,FA,49
41,C0,84,40
41,C1,84,41
41,C2,84,42
41,C3,84,43
41,C4,84,44
41,C5,84,45
41,C6,84,46
41,C7,84,47
41,C8,84,48
41,C9,84,49
41,CA,84,4A
41,CB,84,4B
41,CC,84,4C
41,CD,84,4D
41,CE,84,4E
41,CF,84,4F
41,D0,84,50
41,D1,84,51
41,D2,84,52
41,D3,84,53
41,D4,84,54
41,D5,84,55
41,D6,84,56
41,D7,84,57
41,D8,84,58
41,D9,84,59
41,DA,84,5A
41,DB,84,5B
41,DC,84,5C
41,DD,84,5D
41,DE,84,5E
41,DF,84,5F
41,E0,84,60
41,F1,87,54
41,F2,87,55
41,F3,87,56
41,F4,87,57
41,F5,87,58
41,F6,87,59
41,F7,87,5A
41,F8,87,5B
41,F9,87,5C
41,FA,87,5D
42,4A,81,92
42,4B,81,44
42,4C,81,83
42,4D,81,69
42,4E,81,7B
42,4F,81,62
42,50,81,95
42,5A,81,49
42,5B,81,8F
42,5C,81,96
42,5D,81,6A
42,5E,81,47
42,5F,81,CA
42,60,81,7C
42,61,81,5E
42,6A,FA,55
42,6B,81,43
42,6C,81,93
42,6D,81,51
42,6E,81,84
42,6F,81,48
42,79,81,4D
42,7A,81,46
42,7B,81,94
42,7C,81,97
42,7D,FA,56
42,7E,81,81
42,7F,FA,57
42,81,82,81
42,82,82,82
42,83,82,83
42,84,82,84
42,85,82,85
42,86,82,86
42,87,82,87
42,88,82,88
42,89,82,89
42,91,82,8A
