40,40,A1,A1
41,41,A1,A2
41,42,A1,A3
41,43,A1,A4
41,44,A1,A5
41,45,A1,A6
41,46,A1,A7
41,47,A1,A8
41,48,A1,A9
41,49,A1,AA
41,4A,A1,AB
41,4B,A1,AC
41,4C,A3,FE
41,4D,A1,AE
41,4E,A1,AF
41,4F,A1,B0
41,50,A1,B1
41,51,A1,B2
41,52,A1,B3
41,53,A1,B4
41,54,A1,B5
41,55,A1,B6
41,56,A1,B7
41,57,A1,B8
41,58,A1,B9
41,59,A1,BA
41,5A,A1,BB
41,5B,A1,BC
41,5C,A1,BD
41,5D,A1,BE
41,5E,A1,BF
41,5F,A1,C0
41,63,A1,C4
41,64,A1,C5
41,65,A1,C6
41,66,A1,C7
41,67,A1,C8
41,68,A1,C9
41,6A,A3,DE
41,6B,A1,CC
41,6C,A1,CD
41,6D,A7,A2
41,6E,A7,A3
41,6F,A7,A4
41,70,A7,A6
41,71,A7,AE
41,72,A7,AF
41,73,A7,B0
41,74,A7,B7
41,75,A7,B8
41,76,A1,D7
41,77,A1,D8
41,78,A1,D9
41,79,A1,DA
41,7A,A1,DB
41,7B,A1,DC
41,7C,A1,DD
41,7D,A1,DE
41,7E,A1,DF
41,7F,A1,E0
41,80,A1,E1
41,81,A1,E2
41,82,A1,E3
41,83,A1,E4
41,84,A1,E5
41,85,A1,E6
41,86,A1,E7
41,87,A1,E8
41,88,A1,E9
41,89,A1,EA
41,8A,A1,EB
41,8B,A3,DB
41,8C,A3,DD
41,8D,A1,C1
41,8E,A1,C2
41,8F,A1,C3
41,90,A1,CA
41,91,A1,CE
41,92,A1,CF
41,93,A1,D0
41,94,A1,D1
41,95,A1,D2
41,96,A1,D3
41,97,A1,D4
41,98,A1,D5
41,99,A1,D6
41,9A,A1,EC
41,9B,A1,ED
41,9C,A1,EE
41,9D,A1,EF
42,4A,A1,CB
42,4B,A3,AE
42,4C,A3,BC
42,4D,A3,A8
42,4E,A3,AB
42,4F,A3,FC
42,50,A3,A6
42,5A,A3,A1
42,5B,A3,A4
42,5C,A3,AA
42,5D,A3,A9
42,5E,A3,BB
42,5F,A1,FE
42,60,A3,AD
42,61,A3,AF
42,6B,A3,AC
42,6C,A3,A5
42,6D,A3,DF
42,6E,A3,BE
42,6F,A3,BF
42,79,A3,E0
42,7A,A3,BA
42,7B,A3,A3
42,7C,A3,C0
42,7D,A3,A7
42,7E,A3,BD
42,7F,A3,A2
42,81,A3,E1
42,82,A3,E2
42,83,A3,E3
42,84,A3,E4
42,85,A3,E5
42,86,A3,E6
42,87,A3,E7
42,88,A3,E8
42,89,A3,E9
42,91,A3,EA
42,92,A3,EB
42,93,A3,EC
42,94,A3,ED
42,95,A3,EE
42,96,A3,EF
42,97,A3,F0
42,98,A3,F1
42,99,A3,F2
42,A1,A1,AD
42,A2,A3,F3
42,A3,A3,F4
42,A4,A3,F5
42,A5,A3,F6
42,A6,A3,F7
42,A7,A3,F8
42,A8,A3,F9
42,A9,A3,FA
42,C0,A3,FB
42,C1,A3,C1
42,C2,A3,C2
42,C3,A3,C3
42,C4,A3,C4
42,C5,A3,C5
42,C6,A3,C6
42,C7,A3,C7
42,C8,A3,C8
42,C9,A3,C9
42,D0,A3,FD
42,D1,A3,CA
42,D2,A3,CB
42,D3,A3,CC
42,D4,A3,CD
42,D5,A3,CE
42,D6,A3,CF
42,D7,A3,D0
42,D8,A3,D1
42,D9,A3,D2
42,E0,A3,DC
42,E2,A3,D3
42,E3,A3,D4
42,E4,A3,D5
42,E5,A3,D6
42,E6,A3,D7
42,E7,A3,D8
42,E8,A3,D9
42,E9,A3,DA
42,F0,A3,B0
42,F1,A3,B1
42,F2,A3,B2
42,F3,A3,B3
42,F4,A3,B4
42,F5,A3,B5
42,F6,A3,B6
42,F7,A3,B7
42,F8,A3,B8
42,F9,A3,B9
43,41,A4,D5
43,42,A4,D6
43,43,A4,D7
43,44,A4,D8
43,45,A4,D9
43,46,A4,DA
43,47,A4,DB
43,48,A4,DC
43,49,A4,DD
43,4A,A4,DE
43,4B,A4,DF
43,4C,A4,E0
43,4D,A4,E1
43,4E,A4,E2
43,4F,A4,E3
43,50,A4,E4
43,51,A4,E5
43,52,A4,E6
43,53,A4,E7
43,54,A4,E8
43,55,A4,E9
43,56,A4,EA
43,57,A4,EB
43,58,A4,EC
43,59,A4,ED
43,5A,A4,EE
43,5B,A4,EF
43,5C,A4,F0
43,5D,A4,F1
43,5E,A4,F2
43,5F,A4,F3
43,60,A4,F4
43,61,A4,F5
43,62,A4,F6
43,63,A4,F7
43,64,A4,F8
43,65,A4,F9
43,66,A4,FA
43,67,A4,FB
43,68,A4,FC
43,69,A4,FD
43,6A,A4,FE
44,41,AA,A1
44,42,AA,A2
44,43,AA,A3
44,44,AA,A4
44,45,AA,A5
44,46,AA,A6
44,47,AA,A7
44,48,AA,A8
44,49,AA,A9
44,4A,AA,AA
44,4B,AA,AB
44,4C,AA,AC
44,4D,AA,AD
44,4E,AA,AE
44,4F,AA,AF
44,50,AA,B0
44,51,AA,B1
44,52,AA,B2
44,53,AA,B3
44,54,AA,B4
44,55,AA,B5
44,56,AA,B6
44,57,AA,B7
44,58,AA,B8
44,59,AA,B9
44,5A,AA,BA
44,5B,AA,BB
44,5C,AA,BC
44,5D,AA,BD
44,5E,AA,BE
44,5F,AA,BF
44,60,AA,C0
44,61,AA,C1
44,62,AA,C2
44,63,AA,C3
44,64,AA,C4
44,65,AA,C5
44,66,AA,C6
44,67,AA,C7
44,68,AA,C8
44,69,AA,C9
44,6A,AA,CA
44,6B,AA,CB
44,6C,AA,CC
44,6D,AA,CD
44,6E,AA,CE
44,6F,AA,CF
44,70,AA,D0
44,71,AA,D1
44,72,AA,D2
44,73,AA,D3
44,74,AA,D4
44,75,AA,D5
44,76,AA,D6
44,77,AA,D7
44,78,AA,D8
44,79,AA,D9
44,7A,AA,DA
44,7B,AA,DB
44,7C,AA,DC
44,7D,AA,DD
44,7E,AA,DE
44,7F,AA,DF
44,80,AA,E0
44,81,AA,E1
44,82,AA,E2
44,83,AA,E3
44,84,AA,E4
44,85,AA,E5
44,86,AA,E6
44,87,AA,E7
44,88,AA,E8
44,89,AA,E9
44,8A,AA,EA
44,8B,AA,EB
44,8C,AA,EC
44,8D,AA,ED
44,8E,AA,EE
44,8F,AA,EF
44,90,AA,F0
44,91,AA,F1
44,92,AA,F2
44,93,AA,F3
45,41,AB,A1
45,42,AB,A2
45,43,AB,A3
45,44,AB,A4
45,45,AB,A5
45,46,AB,A6
45,47,AB,A7
45,48,AB,A8
45,49,AB,A9
45,4A,AB,AA
45,4B,AB,AB
45,4C,AB,AC
45,4D,AB,AD
45,4E,AB,AE
45,4F,AB,AF
45,50,AB,B0
45,51,AB,B1
45,52,AB,B2
45,53,AB,B3
45,54,AB,B4
45,55,AB,B5
45,56,AB,B6
45,57,AB,B7
45,58,AB,B8
45,59,AB,B9
45,5A,AB,BA
45,5B,AB,BB
45,5C,AB,BC
45,5D,AB,BD
45,5E,AB,BE
45,5F,AB,BF
45,60,AB,C0
45,61,AB,C1
45,62,AB,C2
45,63,AB,C3
45,64,AB,C4
45,65,AB,C5
45,66,AB,C6
45,67,AB,C7
45,68,AB,C8
45,69,AB,C9
45,6A,AB,CA
45,6B,AB,CB
45,6C,AB,CC
45,6D,AB,CD
45,6E,AB,CE
45,6F,AB,CF
45,70,AB,D0
45,71,AB,D1
45,72,AB,D2
45,73,AB,D3
45,74,AB,D4
45,75,AB,D5
45,76,AB,D6
45,77,AB,D7
45,78,AB,D8
45,79,AB,D9
45,7A,AB,DA
45,7B,AB,DB
45,7C,AB,DC
45,7D,AB,DD
45,7E,AB,DE
45,7F,AB,DF
45,80,AB,E0
45,81,AB,E1
45,82,AB,E2
45,83,AB,E3
45,84,AB,E4
45,85,AB,E5
45,86,AB,E6
45,87,AB,E7
45,88,AB,E8
45,89,AB,E9
45,8A,AB,EA
45,8B,AB,EB
